samples	total_reads	pct_uniq_reads	reads_start_point	pf_bases	pct_pf_bases	pct_coding	pct_utr	pct_intronic	pct_intergenic	pct_correct_rs	pct_mrna	pct_usable	med_cv_cov	X5to3_bias	rrna_contam	project	groupID	run
PROJECT_COCKAREL_0030_Ln_P_PE_328_WT	0.070425	99.4	3.373	1.0575738	85.4	1.1382	69.2041	21.1626	8.4951	95.9097	70.3423	60.1358	1.131499	1.103145	71	PROJECT_COCKAREL	180423	180430_M00146_0074_000000000-D3RD8
PROJECT_GNATS_0004_Br_P_PE_349_WT	0.036313	99.4	4.044	0.545261	87.9	0.4978	86.7994	5.9153	6.7875	97.7778	87.2972	76.7709	1.688466	0	91.1	PROJECT_GNATS	GEN-02038-042	180724_M00146_0081_000000000-D4KDT
PROJECT_PEBBLE_0010_Bn_P_PE_328_WT	0.040985	99	2.714	0.6132714	86.6	8.0456	71.3756	9.7809	10.7979	99.3183	79.4212	68.7967	0.964084	1.109756	73.2	PROJECT_PEBBLE	180515	180517_M00753_0047_000000000-D3WJ3
PROJECT_PEBBLE_0027_Bn_P_PE_320_WT	0.033283	99.9	1.41	0.5021354	86.1	36.9134	27.0698	21.6382	14.3785	99.4106	63.9833	55.1305	1.059393	8.693878	7	PROJECT_PEBBLE	180515	180517_M00753_0047_000000000-D3WJ3
PROJECT_QUINOA_0040_Sk_P_PE_296_WT	0.031526	98.6	4.86	0.4697308	78.7	0.0405	85.2905	4.2463	10.4227	88.8889	85.331	67.2245	1.801219	0	97.6	PROJECT_QUINOA	A01	180517_M00753_0047_000000000-D3WJ3
PROJECT_QUINOA_0043_nn_M_PE_246_WT	0.02592	99.7	2.205	0.3903048	71.9	6.952	52.762	29.1309	11.1552	98.8158	59.7139	42.9347	0.934303	0.958333	47.6	PROJECT_QUINOA	empty	180724_M00146_0081_000000000-D4KDT
PROJECT_QUINOA_0076_Sk_P_PE_284_WT	0.039966	99.3	5.24	0.5998626	78.3	0.1892	87.4465	7.4146	4.9498	94.5055	87.6356	68.6222	1.789031	0	94.1	PROJECT_QUINOA	INS-D-011-AT_2	180724_M00146_0081_000000000-D4KDT
PROJECT_QUINOA_0080_Br_P_PE_332_WT	0.037348	99.5	3.166	0.5613576	85.4	1.6244	76.2026	13.9761	8.1968	97	77.827	66.5098	0.775487	1.0375	76.8	PROJECT_QUINOA	INS-B-016-AT_2	180724_M00146_0081_000000000-D4KDT
PROJECT_QUINOA_0092_Br_P_PE_297_WT	0.030189	99.7	1.713	0.454812	79.1	7.5653	36.8845	40.8243	14.7259	97.0916	44.4498	35.1697	0.868722	3.225	31.3	PROJECT_QUINOA	INS-A-023-AT	180724_M00146_0081_000000000-D4KDT
PROJECT_QUINOA_0096_Sk_M_PE_311_WT	0.010716	99.9	1.416	0.161721	81.4	38.7108	24.1701	17.6553	19.4638	99.3601	62.8809	51.189	0.982777	0.884615	5.4	PROJECT_QUINOA	INS-D-013-C2T	181018_M00753_0068_d4wv5
